date,rainfall,min_temp,max_temp
20/02/2021,0.4,22.2,29.6
21/02/2021,1.2,22.3,33.7
22/02/2021,0,22.1,33.6
23/02/2021,8.2,23.3,32.1
24/02/2021,10.6,20.9,29.8
25/02/2021,16.8,22.2,28.7
26/02/2021,0.2,22.5,31.8
27/02/2021,0,23.2,30.8
28/02/2021,4,24.1,31.4
1/03/2021,0,24.1,29.6
2/03/2021,0,22.1,33.2
3/03/2021,6.2,22.5,26.5
4/03/2021,0.6,20.1,26.7
5/03/2021,0,18,30.8
6/03/2021,0,20.9,28.5
7/03/2021,0,21.1,28.4
8/03/2021,0,21.8,29.6
9/03/2021,25.6,21.3,30.4
10/03/2021,0,20.8,30.6
11/03/2021,0,22.3,28.5
12/03/2021,0.8,20.6,28
13/03/2021,0.4,21.4,29.4
14/03/2021,0.2,21.5,30.8
15/03/2021,6.6,22.5,23
16/03/2021,12.4,19.1,25.4
17/03/2021,11.6,18.9,22.3
18/03/2021,15.4,19.4,27.8
19/03/2021,0,20.7,28.7
20/03/2021,20.8,21.9,28.6
21/03/2021,1,22,28.5
22/03/2021,125,21.1,23.2
23/03/2021,52.6,21.4,27.8
24/03/2021,21.4,21.4,30.9
25/03/2021,0,16.7,31.1
26/03/2021,0,19.1,30.5
27/03/2021,0,20.4,29.8
28/03/2021,0,18.9,30.7
29/03/2021,0,19.8,30
30/03/2021,0,19.9,26.3
31/03/2021,0,17.3,27.1
1/04/2021,0,18,26.2
2/04/2021,2.8,17.9,26.6
3/04/2021,0,20.5,25.4
4/04/2021,8.4,19.6,22.5
5/04/2021,9.4,20.1,23.3
6/04/2021,45.4,20.9,24.3
7/04/2021,20.6,19.6,27.5
8/04/2021,0,19.2,28.1
9/04/2021,0,18.3,30.6
10/04/2021,0,17.7,33
11/04/2021,0,18.3,29.2
12/04/2021,0.2,13.2,24.6
13/04/2021,0,14.7,24.9
14/04/2021,0,13.6,26.3
15/04/2021,0,15,28.4
16/04/2021,0,17.1,30.5
17/04/2021,0,19.5,24.7
18/04/2021,24.6,15,24.9
19/04/2021,0.2,14.4,26.5
20/04/2021,0,14.6,27.6
21/04/2021,0,14.5,30.1
22/04/2021,0,12,22
23/04/2021,0,11.6,25
24/04/2021,0,12.2,25.1
25/04/2021,0,13.7,26.6
26/04/2021,0,15,24.8
27/04/2021,0,16,25.8
28/04/2021,0,15.7,24.6
29/04/2021,0.6,15.7,25.1
30/04/2021,0,17.1,24.2
1/05/2021,6.2,16.7,22.3
2/05/2021,12,17.1,23.1
3/05/2021,2.4,16.6,25.5
4/05/2021,0.2,15.7,26.3
5/05/2021,17.6,15.7,18.2
6/05/2021,18.8,12.5,23.7
7/05/2021,0,12.9,25.6
8/05/2021,0,15.9,27
9/05/2021,0,16.7,26.6
10/05/2021,0,16.3,28.1
11/05/2021,0,15.6,27.8
12/05/2021,7.8,17.9,26.1
13/05/2021,24.8,16.4,24.1
14/05/2021,0,13.8,24.8
15/05/2021,0,11.2,24.2
16/05/2021,0,11.7,22
17/05/2021,0,8.7,22.6
18/05/2021,0,11.4,23.3
19/05/2021,0,14.5,22.1
20/05/2021,0,13,24
21/05/2021,0,12.2,23.4
22/05/2021,0,14,24
23/05/2021,0,14,24.4
24/05/2021,0,13.7,24
25/05/2021,0,14.1,23.9
26/05/2021,0,12.5,25.6
27/05/2021,0,13.7,24.3
28/05/2021,0,11.2,21.7
29/05/2021,0,11,21
30/05/2021,0,11.6,21.2
31/05/2021,0,12.1,21.5
1/06/2021,0,11.1,23.9
2/06/2021,0,12.7,22.8
3/06/2021,0,14.9,21.9
4/06/2021,4.4,12,22
5/06/2021,0,11.6,22.5
6/06/2021,0,9.5,21.7
7/06/2021,0,9.8,22.3
8/06/2021,0,10.5,21.1
9/06/2021,1.4,14.2,18.2
10/06/2021,0,9.5,19.3
11/06/2021,0,7.3,19.6
12/06/2021,0,7.6,21.5
13/06/2021,0,6.5,22.2
14/06/2021,0,8.4,23.6
15/06/2021,0,11.7,21.9
16/06/2021,14,11,25.1
17/06/2021,0.2,12.3,23.4
18/06/2021,0,8.2,21.3
